,guess,information
162,cruel,5.318870066611533
163,early,5.317115804441665
164,trash,5.31693853083698
165,laden,5.315047512954401
166,smear,5.314888911702499
167,nurse,5.313797436148319
168,poise,5.313678581783316
169,merit,5.306924639744077
170,relay,5.3054104251137435
171,baste,5.303654597347561
172,islet,5.303649999271017
173,inter,5.303585856865748
174,tease,5.302744090791166
175,space,5.299158176670601
176,spite,5.299065634580233
177,ramen,5.2951325101051605
178,heist,5.294966049202374
179,reach,5.293654224303237
180,onset,5.293635481859795
181,dance,5.293597267397255
182,those,5.291735222430669
183,safer,5.2916508635967805
184,slope,5.290605025616465
185,cried,5.290372739658378
186,erase,5.289077770276499
187,tapir,5.288984222670612
188,pause,5.285657227569357
189,sedan,5.2851608429588275
190,chase,5.283521800374079
191,feast,5.283053569997069
192,peril,5.280693122255316
193,outer,5.280644454553299
194,haute,5.278771465893664
195,utile,5.276972135274119
196,stein,5.275900584849921
197,slime,5.275099321130441
198,tilde,5.2739523286617205
199,grade,5.273926450871294
200,stain,5.273643976843889
201,shine,5.273119171716558
202,spiel,5.2714330009684165
203,agile,5.271345742128037
204,shalt,5.2704683237622945
205,false,5.269441421987362
206,hotel,5.266514792247041
207,chore,5.262737623902353
208,penal,5.2623420942238965
209,regal,5.261403722173868
210,farce,5.260884874771915
211,eclat,5.258936023708026
212,shone,5.257977141114977
213,water,5.257439489199421
214,trend,5.256699261793207
215,brine,5.2558651417213715
216,cable,5.25543605863878
217,poser,5.255284887022302
218,heard,5.254474765659886
219,teach,5.254409499201891
220,anode,5.253542636711812
221,scone,5.252786486239865
222,plait,5.251991618410668
223,afire,5.2507173110138625
224,borne,5.2500110154138335
225,lease,5.248506082562432
226,grape,5.248356133402274
227,timer,5.247412281315878
228,taker,5.244716309843721
229,drain,5.244658039109855
230,satyr,5.2435095904230735
231,metal,5.243452726808119
232,droit,5.243252826471689
233,smart,5.24207770778084
234,grant,5.241281499935288
235,write,5.2406633621250265
236,tiger,5.2405737269723
237,acute,5.237285400392543
238,polar,5.235489655363816
239,delta,5.235089449331684
240,diner,5.23462921786489
241,bleat,5.233089403873688
242,smile,5.230522327738155
243,crime,5.227263095193913
244,skate,5.227141782012209
245,smite,5.226090144075476
246,forte,5.226070214935016
247,wrote,5.219356123498575
248,argue,5.219118803799597
249,elate,5.218083785445836
250,artsy,5.217735593605834
251,actor,5.2159375789961
252,camel,5.213769317494468
253,remit,5.212200872876791
254,terse,5.211729784713173
255,scant,5.210368532638902
256,cutie,5.209819645691066
257,sober,5.208938261672045
258,shade,5.207197466600616
259,slept,5.202707760258141
260,chart,5.202157924393226
261,grail,5.200525853826341
262,motel,5.199634798217626
263,purse,5.197432298651971
264,stead,5.195061912655124
265,phase,5.192650230264245
266,feral,5.191905024251964
267,spine,5.191887293174969
268,anger,5.19097982984714
269,cream,5.190935159759482
270,aside,5.190734778168173
271,snide,5.187696947058873
272,smote,5.186140522469944
273,shape,5.1858895109247785
274,slave,5.185665436657701
275,angle,5.185033235105569
276,paint,5.183879100060118
277,short,5.183743169603331
278,nicer,5.183412390269043
279,plant,5.181617369077618
280,cheat,5.180958652349677
281,alike,5.178798840173197
282,leach,5.178764033769712
283,anime,5.178277586816637
284,snipe,5.176698700173
285,loath,5.17610773324006
286,lithe,5.176085223836209
287,older,5.174711272202647
288,worse,5.174201686230573
289,waste,5.172849800296477
290,shirt,5.171998473105001
291,court,5.171292702925059
292,heron,5.170535528224706
293,spelt,5.170358043297975
294,prune,5.169067815598555
295,miser,5.168693284488867
296,swear,5.168541982430313
297,rainy,5.167670612232717
298,payer,5.166140771246827
299,unite,5.166095130668119
300,goner,5.16585095798468
301,ripen,5.165523646836861
302,crave,5.164776142578201
303,pride,5.164685464131993
304,crept,5.163077455368743
305,relic,5.162994218307606
306,pried,5.162480653557183
307,eater,5.162369240449062
308,salty,5.160078596316945
309,death,5.1585698117921215
310,acorn,5.157105377698452
311,stake,5.156720349426501
312,glade,5.1559885323486885
313,molar,5.15546763038675
314,cider,5.155316894024621
315,sepia,5.153761735057826
316,stray,5.152402846911352
317,scent,5.15205744936888
318,valet,5.151999717736884
319,salve,5.15128476070788
320,brute,5.1487388337700315
321,lunar,5.147782511095183
322,recut,5.14673527633796
323,beard,5.145928482062197
324,spade,5.144988826850139
325,after,5.142394944078859
326,sleet,5.141257530493066
327,angel,5.140909674450457
328,ready,5.140457161951522
329,gloat,5.139803822649848
330,boast,5.138767241316589
331,chair,5.1367047509508525
332,swore,5.134984421208855
333,shame,5.134290765104739
334,drake,5.133279310271786
335,carve,5.132240201644003
336,snake,5.1317333845384026
337,shoal,5.131504318500724
338,harem,5.130996197121552
339,recap,5.129264166361072
340,metro,5.128853323372874
341,miner,5.126933486663849
342,moral,5.126886550483634
343,surge,5.126410908246175
344,grain,5.123810549921973
345,print,5.123237946014959
346,horde,5.12312482320973
347,style,5.122176872261869
348,royal,5.121471064953983
349,spice,5.120664542471554
350,blast,5.12017053209892
351,super,5.11994954364162
352,sport,5.116340208330489
353,barge,5.114867081885936
354,blade,5.114478030906231
355,trove,5.114254895967728
356,glean,5.11401867248817
357,unset,5.113571100123096
358,manor,5.1126072660188315
359,decal,5.111868217897102
360,nadir,5.109361017138745
361,crust,5.107479298821277
362,flier,5.106122408170223
363,maple,5.105211806157672
364,cease,5.1047505368440325
365,wrest,5.104420936168476
366,email,5.103122542533373
367,smelt,5.102521226838611
368,groan,5.1024705825183405
369,untie,5.101332229364533
370,strap,5.09986852371008
371,crash,5.099146417672217
372,house,5.098862918121753
373,singe,5.098533325455752
374,copse,5.09768110616687
375,treat,5.0974288429122225
376,bloat,5.0970792910917195
377,comet,5.096267406881196
378,reset,5.096148502029824
379,gruel,5.095021031268653
380,brain,5.094657003096053
381,roach,5.094567603081354
382,rifle,5.09452316447241
383,rouge,5.094130088003087
384,abort,5.09298050860627
385,sweat,5.092741144228626
386,fetal,5.091970124580685
387,filet,5.090701870837167
388,reign,5.090321070419873
389,steam,5.0894151807890635
390,agent,5.087335081929607
391,avert,5.086685733698676
392,chose,5.08495934329304
393,crude,5.084949119350293
394,rayon,5.084364587598461
395,splat,5.0838710196221415
396,taken,5.083288131307197
397,pulse,5.082813767656879
398,ulcer,5.082540703313906
399,spent,5.082452320236464
400,tidal,5.080964628473791
401,prime,5.080691990024971
402,gayer,5.079653451527203
403,opera,5.077096672925689
404,tower,5.075197163294977
405,hoist,5.074936469051046
406,facet,5.074455435546555
407,labor,5.0740176503148735
408,plain,5.073007745117184
409,sower,5.072909793214358
410,guile,5.071698293360619
411,alive,5.070300753744803
412,skier,5.07029542462577
413,debar,5.070084859790196
414,torus,5.069397311921045
415,giant,5.068230470116376
416,ultra,5.0670963231199915
417,staid,5.067038802993085
418,trite,5.066950606920656
419,cameo,5.066893838780513
420,dream,5.065664575532087
421,serif,5.063312616941672
422,stave,5.063239241844293
423,frame,5.061794556117112
424,force,5.059602769892625
425,olden,5.058167650596414
426,refit,5.0576801850973006
427,idler,5.0558471364821544
428,decor,5.0555181361453085
429,rogue,5.054698456103587
430,credo,5.053022949827942
431,radio,5.052033804257515
432,frail,5.051329480905226
433,repay,5.050565076503509
434,adorn,5.050345067839543
435,erupt,5.049988103958246
436,bread,5.049388197254142
437,bathe,5.049162259645517
438,pedal,5.049114372384417
439,plied,5.048681926375828
440,baron,5.048480283998562
441,thorn,5.048480265559334
442,gripe,5.048001140927794
443,amuse,5.04792752521396
444,flair,5.046899101679704
445,other,5.045676022044603
446,raven,5.043183177863906
447,sloth,5.041328728258914
448,pecan,5.039308334916519
449,hoard,5.039188149241967
450,bride,5.035890378414874
451,gamer,5.035785954542669
452,elite,5.035049167244322
453,ocean,5.034766141448201
454,shied,5.032746136106697
455,mealy,5.03267744774541
456,filer,5.03024589272845
457,easel,5.029607322403521
458,craft,5.029602256039463
459,stand,5.028978148859784
460,dirge,5.028792750128665
461,boule,5.028534397978329
462,trawl,5.02815498429511
463,eaten,5.028044772305473
464,grope,5.027993344518584
465,mouse,5.027936430206136
466,rivet,5.027483006365957
467,apron,5.027306198235416
468,retch,5.025892643436464
469,dairy,5.025246831033561
470,tuber,5.023321270399211
471,latte,5.022392370339103
472,snout,5.0220934332960585
473,towel,5.021068121682434
474,moist,5.020707430459046
475,story,5.020476920251044
476,blame,5.020466494531707
477,opine,5.019529293716565
478,creak,5.0193230298177145
479,shorn,5.01913730714179
480,matey,5.018216875224693
481,scorn,5.016957923772136
482,point,5.016857789807971
483,ideal,5.016658228083459
484,guise,5.016099048103767
485,plead,5.015928800604975
486,chant,5.015471423211726
487,spilt,5.014977588362114
488,noble,5.014825560704617
489,meaty,5.014618816840418
490,ashen,5.014165308469725
491,ounce,5.012944075009974
492,delay,5.01229098880944
493,waist,5.010281349710021
494,pesto,5.008242617928024
495,diary,5.008142349387335
496,tense,5.006986630095025
497,state,5.006692937331331
498,bluer,5.005130309971851
499,steer,5.004561646857491
500,party,5.003298313290697
501,terra,5.000995232437919
502,ankle,4.999440901650271
503,tardy,4.998206601938742
504,clout,4.997774070267373
505,grime,4.995220521125818
506,solid,4.994295158365382
507,scary,4.994053627344036
508,brake,4.993005863313627
509,shard,4.992970761926242
510,pilot,4.992318538913085
511,probe,4.991451669636325
512,taste,4.991169629954641
513,daunt,4.988595760712007
514,broil,4.987191964098044
515,hairy,4.985494211873322
516,twine,4.985071060791404
517,sugar,4.984668947079008
518,swine,4.9841746943871055
519,ascot,4.983825799596975
520,wiser,4.982367844696894
521,cigar,4.9817958125219235
522,scope,4.9815679889581705
523,serum,4.981068542930156
524,weary,4.979854911608112
525,clash,4.978794327950847
526,float,4.978257794469683
527,whale,4.977590528039901
528,finer,4.976347781040879
529,naive,4.975602634527776
530,nosey,4.9755420650028475
531,reuse,4.975115503857925
532,abuse,4.973006065805532
533,trait,4.972278698933759
534,choir,4.972162132328194
535,ranch,4.971241037430542
536,voter,4.970861554492921
537,posit,4.970634091269246
538,savor,4.969256719248682
539,frost,4.965646811235239
540,medal,4.965579788775582
541,octal,4.965303256091312
542,patio,4.964508885274912
543,faint,4.964255787226502
544,intro,4.9642524124872285
545,sneer,4.9637398454749135
546,organ,4.962874616963299
547,lower,4.962440803587387
548,solve,4.961120919584091
549,phone,4.9610849791084775
550,north,4.960115158085116
551,ovate,4.959894332492866
552,chest,4.959560023979121
553,count,4.9594791416761606
554,slang,4.959299573013241
555,shake,4.959245136070932
556,prude,4.955521944321776
557,torch,4.955294386467193
558,haunt,4.954619030967309
559,scree,4.954435231387509
560,clued,4.954344362415406
561,ridge,4.954155741330133
562,orbit,4.953902707984343
563,clasp,4.95365240118961
564,ample,4.9535692229324155
565,spied,4.953436305642084
566,rebut,4.952044405387176
567,entry,4.948452279868359
568,scour,4.947948921110386
569,melon,4.946600373913464
570,strip,4.9463481134820455
571,steel,4.945993134627033
572,cargo,4.94575329684585
573,glide,4.945075657771544
574,wrist,4.945014210351017
575,three,4.944655230260307
576,bagel,4.943591937047878
577,groin,4.942818412410385
578,crony,4.942340449611907
579,split,4.940094817929347
580,craze,4.939120360927146
581,irony,4.938573142842008
582,stark,4.937589813155557
583,mince,4.937396076949051
584,worst,4.936764843248035
585,front,4.9366498153767955
586,piano,4.935638882651726
587,board,4.935595364221099
588,stoke,4.935074417864288
589,peach,4.934818478981688
590,sharp,4.93463455015603
591,steak,4.9334399268003
592,grout,4.932901362547798
593,spoil,4.931599069517586
594,homer,4.9300853199046575
595,grave,4.92945682082212
596,basil,4.928584254193652
597,guest,4.9276723773654165
598,aloft,4.927066859336012
599,marsh,4.925993953646958
600,chute,4.925779904568288
601,coupe,4.925356532064618
602,tarot,4.9248071766149355
603,first,4.924730016046584
604,setup,4.9238333939129095
605,suave,4.923007441779102
606,mange,4.922965443348874
607,daily,4.922947585866107
608,baton,4.922849374318287
609,flirt,4.920479221044541
610,scaly,4.918850265230129
611,track,4.91818874816635
612,model,4.91811099059937
613,fried,4.917864324795287
614,uncle,4.91680655064602
615,adept,4.915997670562962
616,truly,4.9153010549406
617,deity,4.914950714654862
618,tonic,4.914574718527442
619,align,4.9142042853236365
620,acrid,4.914168808916279
621,flame,4.910622289743372
622,tramp,4.909051648914639
623,scald,4.908377196124576
624,arena,4.908161473438613
625,corny,4.907939115393801
626,lemur,4.907575693605977
627,sonic,4.906552543967686
628,scrap,4.9060681528373316
629,curio,4.905779209320825
630,braid,4.905735849647983
631,berth,4.904540534925591
632,lemon,4.904485212181504
633,token,4.902860808612274
634,sinew,4.902851380661727
635,sneak,4.902426080749612
636,upset,4.901914098085613
637,depot,4.901629819533669
638,navel,4.901000639598319
639,twice,4.900961367525617
640,scion,4.900764213605637
641,draft,4.900099642266265
642,minor,4.899903265826978
643,cower,4.899872431967776
644,daisy,4.899736633242737
645,chain,4.899190658436524
646,claim,4.898388385964292
647,grand,4.897134389282197
648,broad,4.896708803901291
649,plaid,4.896285026640463
650,lover,4.896049057875364
651,brave,4.8952714703459055
652,begat,4.8951451344646895
653,flute,4.893539302133334
654,abide,4.893066892447697
655,storm,4.892540634544767
656,latch,4.89167377056329
657,nasty,4.891009363312664
658,valor,4.889824104091976
659,there,4.889796004318162
660,mural,4.889680242389872
661,title,4.889248490711481
662,tango,4.886489600024551
663,rapid,4.885752942501869
664,spurt,4.884889311106564
665,spray,4.8845598196966975
666,antic,4.883805216652435
667,mayor,4.883014926663498
668,rhino,4.88291184297235
669,audit,4.881949892270161
670,sadly,4.881850150215117
671,croak,4.881540337574817
672,lodge,4.879699484726496
673,flora,4.879370551217678
674,inept,4.87926842296813
675,usage,4.878654428080045
676,adult,4.8785094907242
677,value,4.8784438526856775
678,abled,4.877838035390924
679,brash,4.8777855981312275
680,crisp,4.8776381581793675
681,oaken,4.876187199823356
682,mason,4.875990346282211
683,stoic,4.875738787470628
684,soapy,4.875153053623644
685,fecal,4.873609515259644
686,wager,4.873248696134689
687,gaunt,4.87314768580343
688,macro,4.872577807864917
689,spree,4.872193909718034
690,erect,4.871424961947653
691,greet,4.870830493439132
692,edict,4.870162185268251
693,skirt,4.869407943087623
694,fable,4.869010613547178
695,agree,4.868714980181436
696,foist,4.868142340425606
697,abode,4.867912754845027
698,liver,4.8676968406961905
699,ralph,4.866374845496329
700,along,4.8659004520502265
701,angst,4.865540415237296
702,grasp,4.865197954769872
703,shave,4.864788239612487
704,brand,4.8645562786093475
705,today,4.864171552411195
706,south,4.863615072490995
707,stony,4.863598814005594
708,dunce,4.862472221196774
709,amber,4.862385247753061
710,cagey,4.861156344776102
711,scout,4.859846801911747
712,scalp,4.859686567306904
713,crawl,4.859663553085887
714,glint,4.8583137487995804
715,tepid,4.8582529532030785
716,carat,4.858179673071338
717,under,4.858052464412961
718,amble,4.854837887662376
719,straw,4.854672060016856
720,stalk,4.854182714783428
721,verso,4.853045625727511
722,surly,4.850546597729601
723,poesy,4.850363387065588
724,aloud,4.850174744043733
725,shout,4.8496968838604255
726,third,4.847064538622751
727,chard,4.846713055214761
728,tiara,4.846424704216283
729,peace,4.846263914087882
730,tonga,4.846042806075351
731,cobra,4.845521861813149
732,lunge,4.845501861555451
733,piney,4.844322181291219
734,honey,4.841992122577338
735,beret,4.841069720892794
736,reply,4.840279269309592
737,adobe,4.839640451934493
738,noisy,4.839617973881333
739,scram,4.839395943524046
740,crier,4.839007061123735
741,altar,4.838487381841601
742,loose,4.838170911784331
743,chide,4.83753327733063
744,stove,4.836894004080297
745,unlit,4.836873767771713
746,randy,4.835064120032045
747,patsy,4.834843141908988
748,round,4.834628139576707
749,gaily,4.834056124920691
750,fault,4.833584907145263
751,cloth,4.833258101187578
752,tumor,4.833121624484976
753,racer,4.8324144330974805
754,weird,4.832344491756382
755,crank,4.831946040054395
756,rehab,4.831899671463703
757,drive,4.830811677307665
758,piety,4.830521068053351
759,palsy,4.83030256236607
760,basin,4.829620104621271
761,covet,4.828311227169588
762,moult,4.827598579318423
763,purge,4.826359061647359
764,maker,4.825970988015002
765,deter,4.825418182504495
766,wrath,4.825350247157057
767,parer,4.824934487384542
768,sheer,4.824797545928791
769,saucy,4.824621190299319
770,eagle,4.824291015843132
771,image,4.822541222911323
772,forge,4.821693907600486
773,halve,4.821534103180585
774,liken,4.821467297350481
775,cover,4.820508771148654
776,burst,4.820458680589221
777,start,4.820028137797669
778,perch,4.819770225501092
779,tract,4.819157591805175
780,chaos,4.8189292155079375
781,erode,4.818343580518923
782,wheat,4.815670630515363
783,guilt,4.8142349877623145
784,sheet,4.814165864601636
785,lurid,4.813842883642291
786,drove,4.813824804278153
787,slurp,4.813275432729319
788,truer,4.812789695716578
789,enter,4.81053398951275
790,gleam,4.809990720828729
791,leafy,4.809098638100389
792,grunt,4.808673778822647
793,toast,4.808627074513133
794,debit,4.807856614276975
795,overt,4.8075857418964105
796,lumen,4.807490221364795
797,grief,4.807317571532396
798,owner,4.8072347508141835
799,clove,4.807230795716043
800,voice,4.806762479815798
801,olive,4.806341127231876
802,felon,4.805816016670897
803,chafe,4.805135274416012
804,robin,4.804868420534513
805,blurt,4.804580106622441
806,viral,4.804423160915683
807,caput,4.80407770902685
808,shrew,4.803695697057708
809,threw,4.802343904395903
810,graft,4.8005109619063955
811,screw,4.800311703271859
812,cleft,4.799949754091905
813,fruit,4.799818864851892
814,twirl,4.799604302312902
815,baker,4.798637438520867
816,prove,4.797920031043012
817,clerk,4.797277892015263
818,golem,4.796487210590406
819,amend,4.795430041498066
820,while,4.794578189587553
821,beach,4.794573321307974
822,raspy,4.793676018545371
823,rabid,4.792088495074913
824,donut,4.791691446726788
825,clang,4.791460956480704
826,riser,4.791275002939612
827,niche,4.791144351990204
828,until,4.790428877296694
829,fairy,4.789586722345378
830,swirl,4.789313117469421
831,brunt,4.787759505482213
832,corer,4.787376988262809
833,preen,4.787090795533918
834,sandy,4.7860052139581795
835,eager,4.784314961289656
836,dirty,4.783863469181973
837,unmet,4.782639706024831
838,money,4.7823419760951955
839,decay,4.7819403491535715
840,thief,4.780366881138987
841,globe,4.779189264943459
842,media,4.778878172627762
843,spout,4.778715637404531
844,broke,4.778217265944622
845,inlay,4.777161247217893
846,aunty,4.776120156225899
847,white,4.774703947942768
848,asset,4.774678159801069
849,break,4.774534769567312
850,shunt,4.774310318039284
851,built,4.774270456214081
852,pansy,4.77420339004997
853,knelt,4.772506845346583
854,infer,4.7707006024322345
855,aorta,4.770696974180697
856,broth,4.770547182461384
857,whole,4.770259187689507
858,stank,4.76986216392514
859,sperm,4.768356039153664
860,loamy,4.768314594545007
861,yield,4.767768608489965
862,gland,4.767422299565595
863,cheap,4.767360432143134
864,bilge,4.766141878198428
865,fresh,4.766097639856491
866,tubal,4.765785245939387
867,leaky,4.7653059626395144
868,hinge,4.765166398351612
869,biome,4.7643372648311555
870,mourn,4.763729322804213
871,wider,4.763168436911058
872,lousy,4.762733458962726
873,brief,4.762058832028854
874,burnt,4.7610531364181545
875,power,4.76102124682835
876,retro,4.760954244312928
877,wince,4.760933744377807
878,nerdy,4.760672370860426
879,ester,4.76058105398322
880,china,4.7605231350501915
881,taint,4.760028226149697
882,deign,4.759889455031291
883,chime,4.7595749065143655
884,habit,4.759495360894775
885,pasty,4.759037498480876
886,cabin,4.757603127762936
887,stork,4.757363514521144
888,foyer,4.757021159452118
889,surer,4.756915618179273
890,sound,4.756868480324506
891,boney,4.755547772739002
892,usher,4.754500588771193
893,exalt,4.754076358154136
894,pinto,4.752032456321285
895,relax,4.751828731207159
896,warty,4.749917734133782
897,fibre,4.748522171906968
898,slack,4.748471263323966
899,poker,4.748073942338477
900,panic,4.7474335109688575
901,rival,4.746360846110685
902,horny,4.743911479029883
903,sleep,4.74338857355012
904,sling,4.743368011275237
905,shark,4.743157071651471
906,novel,4.74279105251738
907,whose,4.741741849294149
908,puree,4.741651261240794
909,drawl,4.7413417095286
910,ladle,4.741201397782546
911,march,4.739353166653366
912,modal,4.739225245819866
913,heady,4.738957063152322
914,final,4.738581116820083
915,flake,4.738471848713278
916,drank,4.73823629053339
917,croup,4.738007191127668
918,foray,4.737085929495529
919,urban,4.7365656405050025
920,mercy,4.735620110334734
921,hyena,4.734753034067427
922,guard,4.734455301125625
923,mount,4.734090586842054
924,these,4.733901050330288
925,adopt,4.733874921902868
926,meter,4.73355394416554
927,genre,4.732625167263577
928,began,4.731811814472718
929,decry,4.730826018301887
930,often,4.729841051754472
931,mirth,4.729716488699997
932,glory,4.729057327262324
933,fiery,4.728232732318402
934,login,4.726668638796875
935,repel,4.726370077025484
936,flint,4.726028138421928
937,roost,4.72583272666037
938,hasty,4.725745094790156
939,dowel,4.725701801119354
940,aptly,4.725228020259087
941,scarf,4.72490558621487
942,gavel,4.723971173942837
943,rusty,4.723619933613034
944,demur,4.722415259739432
945,drier,4.7207207630815
946,prank,4.7201930951403055
947,cramp,4.72005830589064
948,faith,4.719265193478206
949,scold,4.719245041490824
950,creed,4.718836638382198
951,sworn,4.718690293974532
952,charm,4.718593356223195
953,inane,4.718245157054302
954,wafer,4.717671757241979
955,spend,4.71720946127424
956,plume,4.717103752343866
957,guide,4.716240731076606
958,bland,4.716057587354257
959,girth,4.716000849297703
960,spike,4.715474144740368
961,trick,4.715131987554565
962,niece,4.715021062324874
963,cloak,4.714669078318442
964,rebus,4.7142930360886774
965,dense,4.7114891117941795
966,tulip,4.7111309795742775
967,crush,4.710621432008569
968,shaft,4.71022955070135
969,troll,4.709951015961598
970,flyer,4.709191042895973
971,elect,4.708906467321218
972,grove,4.7088585121655
973,vault,4.707285018675423
974,elide,4.706498583182601
975,crepe,4.70587593534613
976,spurn,4.704746869411601
977,could,4.704455185192089
978,azure,4.7038297689185145
979,curve,4.703754405287364
980,tangy,4.703552894010662
981,scene,4.701976504383729
982,ombre,4.701762534311495
983,graze,4.701618564969324
984,salvo,4.700089279837197
985,gonad,4.698102901280426
986,noose,4.696969338060047
987,rearm,4.696770576406499
988,leper,4.696723834672317
989,vital,4.696124671237634
990,whine,4.6956243151791695
991,dicey,4.6953349070231996
992,drift,4.693073544021081
993,manly,4.692877458426692
994,haven,4.692157463993924
995,badge,4.6913240971480805
996,drawn,4.689921988754061
997,bacon,4.689526088205484
998,green,4.688345250359947
999,elfin,4.687962171031592
1000,allot,4.687201733072352
1001,sheen,4.687166548116364
1002,clank,4.68499518773642
1003,about,4.684918192912737
1004,otter,4.684755104808516
1005,birth,4.6842715858910005
1006,freak,4.683023153280766
1007,gnome,4.680925564031444
1008,denim,4.679211233743148
1009,total,4.678719771153869
1010,prism,4.6783705929400385
1011,demon,4.677981990077093
1012,elder,4.676995314045216
1013,chord,4.676256788116675
1014,diver,4.676226731255732
1015,froth,4.675939864713268
1016,hover,4.675809500324335
1017,mower,4.675722473548613
1018,amity,4.67544996955591
1019,curly,4.674818868217187
1020,tunic,4.67463804884303
1021,flour,4.674513223529286
1022,tulle,4.6726520151770945
1023,spark,4.672202400801373
1024,siege,4.672199940674475
1025,spoke,4.671373568184917
1026,hotly,4.671106244273758
1027,coven,4.670657364015621
1028,speak,4.6702983696697435
1029,micro,4.670008400629734
1030,proud,4.669913376297918
1031,blend,4.668200563958465
1032,algae,4.667756193773801
1033,ethos,4.666857996438127
1034,ovine,4.66680010486495
1035,patch,4.665799370297112
1036,aware,4.664228077924302
1037,leery,4.663701500970956
1038,angry,4.663213818800277
1039,creep,4.663186006182417
1040,elope,4.663091302177676
1041,girly,4.661463079422239
1042,dwelt,4.660397039070919
1043,vicar,4.65963485978346
1044,slink,4.659376302264926
1045,gnash,4.658996422605743
1046,topic,4.6585008291190055
